COMPTE;NOMENCLATURE;ORDR;QUANTITE;UNITE;VALEUR DU BRUT;POIDS;DATE OUVERTURE;DATE ECHEANCE
411 022 2024 0011950 H;3901209000;1;10800,0000;NB;8635,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3923900090;1;40001,0000;NB;84964,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3926909290;7;384200,0000;NB;247762,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;4016999600;2;9000,0000;NB;43652,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;8544421090;8;2563447,0000;NB;2540966,5170;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3917313012;1;4200,0000;M;8783,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3919104000;1;117000,0000;NB;15577,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3921130000;1;2646,0000;NB;5006,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3926909290;1;178200,0000;NB;141134,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;4009420000;1;2400,0000;NB;35379,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;4016999600;1;16000,0000;NB;60718,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;8544421090;1;180177,0000;M;556719,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;8544421090;2;215072,0000;NB;1762215,9850;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3917313012;2;18000,0000;NB;13268,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3917313012;3;79387,0000;NB;40288,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3919104000;3;60001,0000;ROULE;2474,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3919104000;4;27998,0000;NB;11927,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3926909290;5;986178,0000;NB;137097,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;4009420000;3;2400,0000;NB;36281,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;8544421090;6;166165,0000;NB;367244,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3206490029;2;1500,0000;KG.;175213,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3909509000;2;2000,0000;KG.;118206,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3926909290;8;20000,0000;NB;25790,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;8544421090;9;507843,0000;M;825026,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;8544421090;10;1326403,0000;NB;1711436,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3824990029;1;860,0000;NB;44572,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3909509000;1;6000,0000;KG.;351818,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3926909290;2;18000,0000;NB;25907,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3926909290;3;970,0000;NB;82689,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;4009420000;2;7700,0000;NB;113286,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;4016999800;1;7970,0000;NB;4614,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;8544421090;3;184050,0000;M;200783,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;8544421090;4;765742,0000;NB;990336,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3206490029;1;500,0000;KG.;59718,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3919104000;2;250001,0000;NB;13185,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3926909290;4;14400,0000;NB;6402,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;4005108000;1;33600,0000;NB;25958,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;4016999800;3;19500,0000;NB;71184,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;8544421090;5;22656,0000;NB;180615,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;4016999800;2;1634600,0000;NB;224557,0230;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3919104000;5;3290,0000;NB;2484,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3921130000;2;25200,0000;NB;4309,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;3926909290;6;5350,0000;NB;18670,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;4008110099;1;10000,0000;NB;1562,0000;;26/12/2024;26/12/2026
411 022 2024 0011950 H;8544421090;7;95710,0000;NB;233706,0000;;26/12/2024;26/12/2026
