COMPTE;NOMENCLATURE;ORDR;QUANTITE;UNITE;VALEUR DU BRUT;POIDS;DATE OUVERTURE;DATE ECHEANCE
411 221 2023 0002062 H;3926909290;12;50000,0000;NB;9553,7900;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;34;2725000,0000;NB;616473,0300;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;35;7843,0000;NB;22996,5100;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;36;128457,0000;NB;461247,3100;;15/08/2023;15/08/2025
411 221 2023 0002062 H;3926909290;2;15000,0000;NB;1969,6800;;15/08/2023;15/08/2025
411 221 2023 0002062 H;3926909290;3;17000,0000;NB;27876,0600;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;11;88460,0000;NB;247891,3200;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;12;2000,0000;NB;20926,4900;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;13;13264,0000;NB;29256,6600;;15/08/2023;15/08/2025
411 221 2023 0002062 H;3917313012;3;10000,0000;NB;1298,6900;;15/08/2023;15/08/2025
411 221 2023 0002062 H;3926909290;4;5000,0000;NB;283,9100;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;14;217600,0000;NB;117370,1200;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;15;19656,0000;NB;79906,2800;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;16;6000,0000;NB;1469,8100;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;17;36748,0000;NB;142738,5800;;15/08/2023;15/08/2025
411 221 2023 0002062 H;3917313012;2;33000,0000;NB;5081,2400;;15/08/2023;15/08/2025
411 221 2023 0002062 H;3926909290;1;98000,0000;NB;9994,1300;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;4;240395,0000;NB;184269,4500;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;5;1950,0000;NB;16449,1000;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;6;600,0000;NB;1856,6600;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;7;1250,0000;NB;2449,7100;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;8;24000,0000;NB;8750,6700;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;9;720,0000;NB;3964,4200;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;10;42228,0000;NB;200202,6600;;15/08/2023;15/08/2025
411 221 2023 0002062 H;3926909290;6;18000,0000;NB;3279,3000;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;21;135060,0000;NB;287283,0400;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;22;18000,0000;NB;6760,9600;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;23;720,0000;NB;4641,7700;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;24;13636,0000;NB;20874,9700;;15/08/2023;15/08/2025
411 221 2023 0002062 H;3917313012;4;450,0000;NB;12496,9400;;15/08/2023;15/08/2025
411 221 2023 0002062 H;3926909290;7;110000,0000;NB;18151,8400;;15/08/2023;15/08/2025
411 221 2023 0002062 H;3926909290;8;500,0000;NB;1574,7000;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;25;328890,0000;NB;282582,2400;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;26;63504,0000;NB;258621,3800;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;27;5942,0000;NB;17310,6200;;15/08/2023;15/08/2025
411 221 2023 0002062 H;3917313012;5;90000,0000;NB;12977,3100;;15/08/2023;15/08/2025
411 221 2023 0002062 H;3917313012;6;7500,0000;NB;14688,0800;;15/08/2023;15/08/2025
411 221 2023 0002062 H;3917313012;7;21000,0000;NB;1198,8400;;15/08/2023;15/08/2025
411 221 2023 0002062 H;3926909290;9;610000,0000;NB;69238,9700;;15/08/2023;15/08/2025
411 221 2023 0002062 H;3926909290;10;100,0000;NB;701,1500;;15/08/2023;15/08/2025
411 221 2023 0002062 H;3926909290;11;12580,0000;NB;8122,6300;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;28;1110,0000;NB;3524,4600;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;29;1099490,0000;NB;590564,1000;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;30;6000,0000;NB;2392,4400;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;31;92801,0000;NB;323805,4000;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;32;6400,0000;NB;10469,7900;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;33;600,0000;NB;1132,5600;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;19;500,0000;NB;669,0000;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;20;2000,0000;NB;3183,0000;;15/08/2023;15/08/2025
411 221 2023 0002062 H;3926909290;5;40000,0000;NB;12286,0000;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;18;250000,0000;NB;72895,0000;;15/08/2023;15/08/2025
411 221 2023 0002062 H;3917313012;1;250,0000;NB;1961,5500;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;1;88200,0000;NB;68156,9300;;15/08/2023;15/08/2025
411 221 2023 0002062 H;8544421090;2;23736,0000;NB;28778,4800;;15/08/2023;15/08/2025
